InstrumentURN	InstrumentName	QuestionURN	QuestionLabel	QuestionItemName	QuestionText	Instruction	response_label	response_domain	QuestionGroupID	QuestionGroupAgency	QuestionGroupName	QuestionGroupLabel
urn:ddi:uk.cls.mcs:984e633f-51e6-4825-b7ba-e8537461e091:1	MCS_Age_11_Care_Home_Questionnaire	urn:ddi:uk.cls.mcs:be074051-1bda-4621-8b97-c8c66cb25bf1:1	s4 7	qi_s4_7	How often does [^Cohort Child's name] use a bicycle? Please include travel to and from school?		cs_Edoaed_Staw_Ootaw_Aloam_Efm_Aloay_Loon	1|Every day or almost every day. 2|Several times a week. 3|Once or twice a week. 4|At least once a month. 5|Every few months. 6|At least once a year. 7|Less often or never	67d1a2fa-eeea-4992-b4ee-05b08d0d6aba	uk.closer	10602.0	Physical activity
urn:ddi:uk.cls.mcs:bf3d4174-94b2-4a79-a88f-58cfa0f4c166:1	MCS_Age_11_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:c4d4268f-5e0c-45cc-8fa7-e412f3a3fd9a:1	PHAC	qi_PHAC	"How often do you play sport or do any physical activity like swimming, running, football, dancing, exercise classes, going to the gym etc?"		cs_LIBR-everydaylessoften	1|Every day or almost every day. 2|Several times a week. 3|Once or twice a week. 4|At least once a month. 5|Every few months. 6|At least once a year. 7|Less often or never	3c2ab750-ac49-49cc-81d0-c662318ed8b0	uk.closer	10602.0	Physical activity
urn:ddi:uk.cls.mcs:afcb4222-2b97-4d04-9b8c-0cf5812ca9a4:1	MCS_Age_3_Older_Sibling_Self-Completion	urn:ddi:uk.cls.mcs:ca98085d-c7b2-4d98-bca4-8d7ba8c6292b:1	1 a	qi_1_a	Do you sometimes go to sports classes or sports clubs that are not connected to your school to do sport, gymnastics, swimming, martial arts, horse riding, chess and so on? Please tick one box only		cs_Yes_No	1|Yes. 2|No	e2648a8f-7453-4bfc-b6e1-fcfb32e9a916	uk.closer	10602.0	Physical activity
urn:ddi:uk.cls.mcs:bf3d4174-94b2-4a79-a88f-58cfa0f4c166:1	MCS_Age_11_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:d0fe495f-9050-4f5b-afb4-875e38d056c8:1	PLFR	qi_PLFR	"Not including clubs or classes, how many days a week does [^Cohort child's name] usually take part in physical activities (e.g. swimming, walking) or physically active play with [^his/ her] friends or brothers and sisters? Please don't include walking to school."		cs_SEHO-daysaweek	1|Five or more days a week. 2|Four days a week. 3|Three days a week. 4|Two days a week. 5|One day a week. 6|Less often than once a week. 7|Not at all	3c2ab750-ac49-49cc-81d0-c662318ed8b0	uk.closer	10602.0	Physical activity
urn:ddi:uk.cls.mcs:8ef97ede-bc65-4149-b11f-1be7f49731f3:1	MCS_Age_7_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:dc575d49-e91f-46b5-afb7-a3e30ccc9b3d:1	FAPA	qi_FAPA	How often do you [^or your husband/wife] take part in physical activities (eg swimming, walking) or physically active play with [^Cohort child's name]?	INTERVIEWER: - EXCLUDE WALKING TO SCHOOL. - EXCLUDE IF PARENT ONLY SUPERVISES AND DOES NOT TAKE PART	Edoaed_Staw_Ootaw_Ootam_Lotoam_Naa	1|Every day or almost every day. 2|Several times a week. 3|Once or twice a week. 4|Once or twice a month. 5|Less often than once a month. 6|Not at all	27810139-57e7-48b7-a08d-0ce0062e8044	uk.closer	10602.0	Physical activity
urn:ddi:uk.cls.mcs:984e633f-51e6-4825-b7ba-e8537461e091:1	MCS_Age_11_Care_Home_Questionnaire	urn:ddi:uk.cls.mcs:dff72028-4a64-45a6-918d-21e5fa655d35:1	s4 6	qi_s4_6	"Not including clubs or classes, how many days a week does [^Cohort child's name] usually take part in physical activities (e.g. swimming, walking) or physically active play with [^his/ her] friends or brothers and sisters? Please don't include walking to school."		cs_Fomdaw_Fdaw_Tdaw_Tdaw_Odaw_Ltoaw_Naa	1|Five or more days a week. 2|Four days a week. 3|Three days a week. 4|Two days a week. 5|One day a week. 6|Less than once a week. 7|Not at all	67d1a2fa-eeea-4992-b4ee-05b08d0d6aba	uk.closer	10602.0	Physical activity
urn:ddi:uk.cls.mcs:8ef97ede-bc65-4149-b11f-1be7f49731f3:1	MCS_Age_7_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:ebf33cd4-2723-43c4-9894-2c9ba9421819:1	SEHO	qi_SEHO	How many days a week does [^Cohort child's name] usually go to a club or class to do sport or any other physical activity like swimming, gymnastics, football, dancing etc?		Fomdaw_Fdaw_Tdaw_Tdaw_Odaw_Lotoaw_Naa	1|Five or more days a week. 2|Four days a week. 3|Three days a week. 4|Two days a week. 5|One day a week. 6|Less often than once a week. 7|Not at all	27810139-57e7-48b7-a08d-0ce0062e8044	uk.closer	10602.0	Physical activity
urn:ddi:uk.cls.mcs:8ef97ede-bc65-4149-b11f-1be7f49731f3:1	MCS_Age_7_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:eea69b34-0889-4711-ae94-a9b50f526eb6:1	PLFR	qi_PLFR	Not including clubs or classes, how many days a week does [^Cohort child's name] usually take part in physical activities (e.g. swimming, walking) or physically active play with [^his/ her] friends or brothers and sisters?	INTERVIEWER: - EXCLUDE WALKING TO SCHOOL - EXCLUDE IF FRIEND/BROTHER/SISTER ONLY SUPERVISES AND DOES NOT TAKE PART.	Fomdaw_Fdaw_Tdaw_Tdaw_Odaw_Lotoaw_Naa	1|Five or more days a week. 2|Four days a week. 3|Three days a week. 4|Two days a week. 5|One day a week. 6|Less often than once a week. 7|Not at all	27810139-57e7-48b7-a08d-0ce0062e8044	uk.closer	10602.0	Physical activity
urn:ddi:uk.cls.mcs:8aecfaea-7147-4965-bc32-f5c279159544:1	MCS_9_Months_First_Survey_2000	urn:ddi:uk.cls.mcs:0311c561-6543-43cc-acc5-a56c4d5b08e8:1	SLRO	qi_SLRO	Does ^ Jack usually sleep ...READ OUT...	INTERVIEWER: IF MORE THAN ONE PLACE, CODE ALL THAT APPLY	cs_qSLRO	1|... in a room on ^his own,. 2|in a room with other children,. 3|in your bedroom,. 95|or, in some other place (SPECIFY)?	c41f89bc-dd82-408e-920c-761a7ff83e67	uk.closer	10603.0	Sleep
urn:ddi:uk.cls.mcs:984e633f-51e6-4825-b7ba-e8537461e091:1	MCS_Age_11_Care_Home_Questionnaire	urn:ddi:uk.cls.mcs:07b7e309-2813-4f7b-8b4e-4463cf864587:1	s5 10	qi_s5_10	Which of these best applies to [^Cohort child's name]?	INTERVIEWER: IF OTHERS IN ROOM, 'You can tell me which number applies.'	cs_s5_q10	1|Never wets the bed at night. 2|Occasionally wets the bed at night. 3|Wets the bed at night once or twice a week. 4|Wets the bed at night three or more times a week. 5|Wears night time pads	387f30a9-7b95-4388-96f7-2a5bef39c80c	uk.closer	10603.0	Sleep
urn:ddi:uk.cls.mcs:8aecfaea-7147-4965-bc32-f5c279159544:1	MCS_9_Months_First_Survey_2000	urn:ddi:uk.cls.mcs:1fb38e3c-7d4c-4f12-84b1-20d7ea477598:1	SLRS	qi_SLRS	INTERVIEWER: WRITE IN			Other	c41f89bc-dd82-408e-920c-761a7ff83e67	uk.closer	10603.0	Sleep
urn:ddi:uk.cls.mcs:8aecfaea-7147-4965-bc32-f5c279159544:1	MCS_9_Months_First_Survey_2000	urn:ddi:uk.cls.mcs:27b043a6-c04f-4627-94a6-7bd453a2cc3b:1	SLBE	qi_SLBE	Does ^ Jack sleep in ^his own bed or cot most nights or does ^ he share a bed or cot?	INTERVIEWER: IF MORE THAN ONE PLACE, CODE ALL THAT APPLY	cs_qSLBE	1|In^his own bed/cot. 2|In bed/cot with other children. 3|In your bed. 95|Other place (SPECIFY)	c41f89bc-dd82-408e-920c-761a7ff83e67	uk.closer	10603.0	Sleep
urn:ddi:uk.cls.mcs:8aecfaea-7147-4965-bc32-f5c279159544:1	MCS_9_Months_First_Survey_2000	urn:ddi:uk.cls.mcs:3d0c31ac-fc81-4812-9487-7dede7fee49c:1	SLBS	qi_SLBS	INTERVIEWER: WRITE IN			Other	c41f89bc-dd82-408e-920c-761a7ff83e67	uk.closer	10603.0	Sleep
urn:ddi:uk.cls.mcs:8aecfaea-7147-4965-bc32-f5c279159544:1	MCS_9_Months_First_Survey_2000	urn:ddi:uk.cls.mcs:9d682232-3fea-4e05-a06e-e5f8dd67eac3:1	HOWA	qi_HOWA	At the moment, how often does ^ Jack normally wake at night. Would you say ...READ OUT...		cs_qHOWA	1|... never,. 2|occasionally,. 3|most nights,. 4|once every night,. 5|or, more often than once a night?	c41f89bc-dd82-408e-920c-761a7ff83e67	uk.closer	10603.0	Sleep
urn:ddi:uk.cls.mcs:bf3d4174-94b2-4a79-a88f-58cfa0f4c166:1	MCS_Age_11_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:07e8038f-021a-4bf7-ad74-b736fa08a2f0:1	SMMA	qi_SMMA	About how many cigarettes a day do you usually smoke?	IF SMOKES ROLL-UPS, ASK FOR BEST ESTIMATE		Range:0-95	0e711f9f-197d-4f30-9e12-8099a3b2d0c8	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:8aecfaea-7147-4965-bc32-f5c279159544:1	MCS_9_Months_First_Survey_2000	urn:ddi:uk.cls.mcs:1b374a5d-61d0-4d42-ad16-ca02c0450051:1	PIOF	qi_PIOF	How often do you usually smoke?		cs_qPIOF	1|Every day. 2|5-6 times per week. 3|3-4 times per week. 4|1-2 times per week. 5|1-2 times per month. 6|Less than once a month	a5a4abb8-7f69-42a5-8cd6-7bed8c83d4e2	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:8aecfaea-7147-4965-bc32-f5c279159544:1	MCS_9_Months_First_Survey_2000	urn:ddi:uk.cls.mcs:21a15e93-1153-4838-89d8-0023ac6a4794:1	CICH	qi_CICH	How many cigarettes a day did you usually smoke after you made this change?	IF GAVE UP, CODE 00 IF LESS THAN ONE A DAY, CODE 96 IF CAN'T REMEMBER, CODE 97 IF SMOKED ROLL-UPS, ASK FOR BEST ESTIMATE IF VARIED, TAKE AVERAGE		Range:0-97	a5a4abb8-7f69-42a5-8cd6-7bed8c83d4e2	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:8aecfaea-7147-4965-bc32-f5c279159544:1	MCS_9_Months_First_Survey_2000	urn:ddi:uk.cls.mcs:22a5026d-83b1-4ce1-8f5f-66b55e7e85e1:1	SMTY	qi_SMTY	Have you smoked at all in the past two years?		cs_Yes_No	1|Yes. 2|No	a5a4abb8-7f69-42a5-8cd6-7bed8c83d4e2	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:8aecfaea-7147-4965-bc32-f5c279159544:1	MCS_9_Months_First_Survey_2000	urn:ddi:uk.cls.mcs:2d1c97e8-6d55-4562-befc-6328b20358ba:1	SMUS	qi_SMUS	Do you smoke tobacco products such as cigarettes, cigars or a pipe at all nowadays? IF YES, PROBE: What do you smoke?	CODE ALL THAT APPLY	cs_qSMUS	1|No, does not smoke [exclusive code]. 2|Yes, cigarettes. 3|Yes, roll-ups. 4|Yes, cigars. 5|Yes, a pipe. 95|Yes, other tobacco product	a5a4abb8-7f69-42a5-8cd6-7bed8c83d4e2	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:8ef97ede-bc65-4149-b11f-1be7f49731f3:1	MCS_Age_7_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:341ce7e7-2d62-40e0-968a-1b120ad95a51:1	SMMA	qi_SMMA	About how many cigarettes a day do you usually smoke?	IF SMOKES ROLL-UPS, ASK FOR BEST ESTIMATE		Range:0-95	bd598401-5cf5-4f53-a3bb-390335167c16	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:199aed38-0647-40b1-81bb-e1ca385e45be:1	MCS_Age_5_Older_Sibling_Self-Completion	urn:ddi:uk.cls.mcs:34272536-a57f-4824-a4e4-05193c61d207:1	E3	qi_E3	Do you ever smoke cigarettes?		cs_Yes_No	1|Yes. 2|No	3074320c-4466-40e6-b495-b97283a54ed2	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:8ef97ede-bc65-4149-b11f-1be7f49731f3:1	MCS_Age_7_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:3dffc6fa-3a88-4f58-ab9a-a51ab9061c2a:1	SMUS	qi_SMUS	Can I check, do you [^still] use tobacco products such as cigarettes, cigars, a pipe or chewing tobacco at all nowadays? IF YES, PROBE: What do you smoke or use?	CODE ALL THAT APPLY [code maximum 5 out of 7 possible responses]	Ndns_Yc_Yr_Yc_Yap_Yct_Yotp	1|No, does not smoke. 2|Yes, cigarettes. 3|Yes, roll-ups. 4|Yes, cigars. 5|Yes, a pipe. 6|Yes, chewing tobacco. 95|Yes, other tobacco product	bd598401-5cf5-4f53-a3bb-390335167c16	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:dc430107-eb87-4571-b150-bdbda8265294:1	MCS_Age_11_Cohort_Member_Paper_Self-Completion	urn:ddi:uk.cls.mcs:3ea418fb-a086-4ea5-943e-8ebdf67e49b8:1	57	qi_57	How many of your friends smoke cigarettes?	TICK ONE BOX ONLY	cs_Not_Som_Mof_Aot_Dk	1|None of them. 2|Some of them. 3|Most of them. 4|All of them. 5|Don't know	6a62b502-3059-4ffa-b550-0c9414ef5a58	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:8aecfaea-7147-4965-bc32-f5c279159544:1	MCS_9_Months_First_Survey_2000	urn:ddi:uk.cls.mcs:407527da-dafb-442f-a7dc-00bdb6eb899e:1	SMEV	qi_SMEV	Have you ever regularly smoked tobacco products. By regularly, I mean 1 or more a day for 12 months or more?		cs_Yes_No	1|Yes. 2|No	a5a4abb8-7f69-42a5-8cd6-7bed8c83d4e2	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:d0216bd6-6c2d-43c8-891d-4206e1df0c41:1	MCS_Age_5_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:4165bd00-834a-44ce-b415-1f875f2761ab:1	SMYR	qi_SMYR	In the last 12 months, do you think that [^name of older sibling] has had a problem with smoking?		cs_Yes_No	1|Yes. 2|No	c7d46bd1-a021-4c35-898f-cfc608d0e3db	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:8aecfaea-7147-4965-bc32-f5c279159544:1	MCS_9_Months_First_Survey_2000	urn:ddi:uk.cls.mcs:6263993e-5c66-4d40-9d06-c97a11181bc9:1	CIPR	qi_CIPR	About how many cigarettes a day were you usually smoking just before ^you became pregnant with ^Jack?	IF ASKED: At the time the pregnancy was confirmed. IF SMOKED ROLL-UPS, ASK FOR BEST ESTIMATE IF VARIED, TAKE AVERAGE		Range:0-97	a5a4abb8-7f69-42a5-8cd6-7bed8c83d4e2	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:8aecfaea-7147-4965-bc32-f5c279159544:1	MCS_9_Months_First_Survey_2000	urn:ddi:uk.cls.mcs:67143978-ab8d-4299-af01-fe826170d5d1:1	SMCH	qi_SMCH	And did you change the amount you smoked during ^your pregnancy?		cs_qSMCH	1|Yes. 2|No. 3|Can't remember	a5a4abb8-7f69-42a5-8cd6-7bed8c83d4e2	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:8aecfaea-7147-4965-bc32-f5c279159544:1	MCS_9_Months_First_Survey_2000	urn:ddi:uk.cls.mcs:671743c3-3701-41f5-a82d-f286910d493f:1	SMMA	qi_SMMA	About how many cigarettes a day do you usually smoke?	IF SMOKES ROLL-UPS, ASK FOR BEST ESTIMATE		Range:0-97	a5a4abb8-7f69-42a5-8cd6-7bed8c83d4e2	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:08711a70-fdd3-4190-9943-50b51ad624cd:1	MCS_Age_3_CAPI_Questionnaire	urn:ddi:uk.cls.mcs:6908f997-9fc3-4178-a9d7-7eb7069643dc:1	SMYR	qi_SMYR	In the last 12 months, do you think that [^name of older sibling] has had a problem with smoking?		cs_Yes_No	1|Yes. 2|No	1cdd0ae7-6916-4db1-af66-fe3f2b75cf2d	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:afcb4222-2b97-4d04-9b8c-0cf5812ca9a4:1	MCS_Age_3_Older_Sibling_Self-Completion	urn:ddi:uk.cls.mcs:6a7a9f3f-db3c-470b-bb23-40ed36a49105:1	6 c	qi_6_c	Do you ever smoke cigarettes?		cs_Yes_No	1|Yes. 2|No	bbfeae6b-e4d4-428c-bf23-1961b65ab9e8	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:dc430107-eb87-4571-b150-bdbda8265294:1	MCS_Age_11_Cohort_Member_Paper_Self-Completion	urn:ddi:uk.cls.mcs:6b013aa4-c493-4e2b-91dc-c8875ed3a957:1	58	qi_58	Have you ever tried a cigarette, even if it was only a single puff?	TICK ONE BOX ONLY	cs_Yes_No	1|Yes. 2|No	6a62b502-3059-4ffa-b550-0c9414ef5a58	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:08711a70-fdd3-4190-9943-50b51ad624cd:1	MCS_Age_3_CAPI_Questionnaire	urn:ddi:uk.cls.mcs:723bfa9c-36de-470d-8830-382c78ecf28c:1	SMUS i	qi_SMUS_i	Do you smoke tobacco products such as cigarettes, cigars or a pipe at all nowadays? IF YES: What do you smoke?	CODE ALL THAT APPLY	cs_Ndns_Yc_Yru_Yc_Yap_Yotp	1|No, do not smoke [exclusive code]. 2|Yes, cigarettes. 3|Yes, roll-ups. 4|Yes, cigars. 5|Yes, a pipe. 95|Yes, other tobacco product	1cdd0ae7-6916-4db1-af66-fe3f2b75cf2d	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:08711a70-fdd3-4190-9943-50b51ad624cd:1	MCS_Age_3_CAPI_Questionnaire	urn:ddi:uk.cls.mcs:76ad7ba1-2996-44ef-ad86-8dd930ca7c85:1	SMMA i	qi_SMMA_i	About how many cigarettes a day do you usually smoke?	IF SMOKES ROLL-UPS, ASK FOR BEST ESTIMATE ENTER NUMBER:		Range:0-95	1cdd0ae7-6916-4db1-af66-fe3f2b75cf2d	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:08711a70-fdd3-4190-9943-50b51ad624cd:1	MCS_Age_3_CAPI_Questionnaire	urn:ddi:uk.cls.mcs:7e8560cd-aa5d-4006-bd2e-851440d65fe3:1	SMEV ii	qi_SMEV_ii	Have you ever regularly smoked tobacco products? By regularly, I mean 1 or more a day for 12 months or more?		cs_Yes_No	1|Yes. 2|No	1cdd0ae7-6916-4db1-af66-fe3f2b75cf2d	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:08711a70-fdd3-4190-9943-50b51ad624cd:1	MCS_Age_3_CAPI_Questionnaire	urn:ddi:uk.cls.mcs:7fb1e28f-78a5-490c-a9ac-6eec926b6cc6:1	SMUS ii	qi_SMUS_ii	Do you smoke tobacco products such as cigarettes, cigars or a pipe at all nowadays? IF YES: What do you smoke?	CODE ALL THAT APPLY	cs_Ndns_Yc_Yru_Yc_Yap_Yotp	1|No, do not smoke [exclusive code]. 2|Yes, cigarettes. 3|Yes, roll-ups. 4|Yes, cigars. 5|Yes, a pipe. 95|Yes, other tobacco product	1cdd0ae7-6916-4db1-af66-fe3f2b75cf2d	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:199aed38-0647-40b1-81bb-e1ca385e45be:1	MCS_Age_5_Older_Sibling_Self-Completion	urn:ddi:uk.cls.mcs:8bfb7c00-e742-460d-9f5d-c2a921a17287:1	D5	qi_D5	Are your parent/s strict about making you do household chores? For example, washing up or tidying your bedroom.		cs_Yes_No	1|Yes. 2|No	3074320c-4466-40e6-b495-b97283a54ed2	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:d0216bd6-6c2d-43c8-891d-4206e1df0c41:1	MCS_Age_5_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:91e0a21f-600a-4c32-96f5-feaf994a03ce:1	SMEV	qi_SMEV	Have you ever regularly smoked tobacco products. By regularly, I mean 1 or more a day for 12 months or more?		cs_Yes_No	1|Yes. 2|No	c7d46bd1-a021-4c35-898f-cfc608d0e3db	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:8ef97ede-bc65-4149-b11f-1be7f49731f3:1	MCS_Age_7_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:a2b7d7eb-fc46-49bc-a036-1da17615d224:1	SMKR	qi_SMKR	(Including yourself) does anyone smoke in the same room as [^Cohort child's name or twins' names etc] nowadays?		Yes_No	1|Yes. 2|No	bd598401-5cf5-4f53-a3bb-390335167c16	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:8aecfaea-7147-4965-bc32-f5c279159544:1	MCS_9_Months_First_Survey_2000	urn:ddi:uk.cls.mcs:ae9e4c77-b8ed-4557-b8af-e6fabbaf7097:1	SMKR	qi_SMKR	Does anyone smoke in the same room as ^Jack nowadays?		cs_Yes_No	1|Yes. 2|No	a5a4abb8-7f69-42a5-8cd6-7bed8c83d4e2	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:d0216bd6-6c2d-43c8-891d-4206e1df0c41:1	MCS_Age_5_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:b47b2896-5dfc-46d4-b6ff-2f5dcc99dbd5:1	SMUS ii	qi_SMUS_ii	Can I check, do you [^still] use tobacco products such as cigarettes, cigars, a pipe or  chewing tobacco at all nowadays? IF YES, PROBE: What do you smoke or use?	CODE ALL THAT APPLY [code maximum 5 out of 7 possible responses]	cs_Ndns_Yc_Yru_Yc_Yap_Yct_Yotp	1|No, does not smoke. 2|Yes, cigarettes. 3|Yes, roll-ups. 4|Yes, cigars. 5|Yes, a pipe. 6|Yes, chewing tobacco. 95|Yes, other tobacco product	c7d46bd1-a021-4c35-898f-cfc608d0e3db	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:199aed38-0647-40b1-81bb-e1ca385e45be:1	MCS_Age_5_Older_Sibling_Self-Completion	urn:ddi:uk.cls.mcs:cae1d6bc-e2f8-43be-ade8-88d3fc8ee1e6:1	E3 a	qi_E3_a	How many cigarettes did you smoke in the last 7 days?	Write in		How many	3074320c-4466-40e6-b495-b97283a54ed2	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:8ef97ede-bc65-4149-b11f-1be7f49731f3:1	MCS_Age_7_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:d6d34a80-a343-4fe0-b598-527d014c891c:1	SMEV	qi_SMEV	Have you ever regularly smoked tobacco products. By regularly, I mean 1 or more a day for 12 months or more?		Yes_No	1|Yes. 2|No	bd598401-5cf5-4f53-a3bb-390335167c16	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:d0216bd6-6c2d-43c8-891d-4206e1df0c41:1	MCS_Age_5_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:d7adb203-51a4-4c0d-a590-f1a949d7fcfc:1	SMKR	qi_SMKR	(Including yourself) does anyone smoke in the same room as [^Cohort child's name  or twins names etc] nowadays?		cs_Yes_No	1|Yes. 2|No	c7d46bd1-a021-4c35-898f-cfc608d0e3db	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:8aecfaea-7147-4965-bc32-f5c279159544:1	MCS_9_Months_First_Survey_2000	urn:ddi:uk.cls.mcs:dc88334b-dba3-421a-8813-567e13502fa3:1	WHCH	qi_WHCH	In what month of the pregnancy did you make this change?		cs_qWHCH	1|First. 2|Second. 3|Third. 4|Fourth. 5|Fifth. 6|Sixth. 7|Seventh. 8|Eighth. 9|Ninth. 10|Can't remember	a5a4abb8-7f69-42a5-8cd6-7bed8c83d4e2	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:d0216bd6-6c2d-43c8-891d-4206e1df0c41:1	MCS_Age_5_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:df34e6ea-ff63-44c0-9f87-acf4650a97cd:1	SMMA	qi_SMMA	About how many cigarettes a day do you usually smoke?	IF SMOKES ROLL-UPS, ASK FOR BEST ESTIMATE		Range:0-95	c7d46bd1-a021-4c35-898f-cfc608d0e3db	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:08711a70-fdd3-4190-9943-50b51ad624cd:1	MCS_Age_3_CAPI_Questionnaire	urn:ddi:uk.cls.mcs:e1725361-9e29-4692-bbd7-a8ee9c4303d2:1	SMMA ii	qi_SMMA_ii	About how many cigarettes a day do you usually smoke?	IF SMOKES ROLL-UPS, ASK FOR BEST ESTIMATE ENTER NUMBER:		Range:0-95	1cdd0ae7-6916-4db1-af66-fe3f2b75cf2d	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:bf3d4174-94b2-4a79-a88f-58cfa0f4c166:1	MCS_Age_11_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:e385da9d-08bf-4063-919e-40439028a35a:1	SMUS	qi_SMUS	Can I check, do you use tobacco products such as cigarettes, cigars, a pipe or chewing tobacco at all nowadays? IF YES, PROBE: What do you smoke or use?	CODE ALL THAT APPLY [code maximum 6 out of 7 possible responses]	cs_SMUS	1|No, does not smoke. 2|Yes, cigarettes. 3|Yes, roll-ups. 4|Yes, cigars. 5|Yes, a pipe. 6|Yes, chewing tobacco. 7|Yes, other tobacco product	0e711f9f-197d-4f30-9e12-8099a3b2d0c8	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:08711a70-fdd3-4190-9943-50b51ad624cd:1	MCS_Age_3_CAPI_Questionnaire	urn:ddi:uk.cls.mcs:e8eae148-4f0a-459a-9d54-1125f1c239a3:1	SMEV i	qi_SMEV_i	Have you ever regularly smoked tobacco products? By regularly, I mean 1 or more a day for 12 months or more?		cs_Yes_No	1|Yes. 2|No	1cdd0ae7-6916-4db1-af66-fe3f2b75cf2d	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:bf3d4174-94b2-4a79-a88f-58cfa0f4c166:1	MCS_Age_11_Main_and_Partner_Respondent_Questionnaire	urn:ddi:uk.cls.mcs:f179c471-37fb-4a2a-bb3f-4c6f862ebd31:1	SMEV	qi_SMEV	Have you ever regularly smoked tobacco products?  By regularly, I mean 1 or more a day for 12 months or more?  		cs_Yes_No	1|Yes. 2|No	0e711f9f-197d-4f30-9e12-8099a3b2d0c8	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:08711a70-fdd3-4190-9943-50b51ad624cd:1	MCS_Age_3_CAPI_Questionnaire	urn:ddi:uk.cls.mcs:f8355cb7-0555-48ef-8d06-682597d10653:1	SMKR	qi_SMKR	Does anyone smoke in the same room as ^Jack nowadays?		cs_Yes_No	1|Yes. 2|No	1cdd0ae7-6916-4db1-af66-fe3f2b75cf2d	uk.closer	10604.0	Smoking
urn:ddi:uk.cls.mcs:afcb4222-2b97-4d04-9b8c-0cf5812ca9a4:1	MCS_Age_3_Older_Sibling_Self-Completion	urn:ddi:uk.cls.mcs:fa16a058-7190-4943-8da2-28e110b32be7:1	6 d	qi_6_d	How many cigarettes did you smoke in the last 7 days?	Write in		How many	bbfeae6b-e4d4-428c-bf23-1961b65ab9e8	uk.closer	10604.0	Smoking
